Size,Tries,Entries,Ratio,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,50,50,1.0,0.4285714285714285,0.00694,0.007,7.00322,6.5115
1000,50,50,1.0,0.5789473684210527,0.01826,0.019,18.23878,18.957
1500,51,50,0.980392,0.6511627906976745,0.04354,0.043,43.6296,42.82
2000,53,50,0.943396,0.6488095238095237,0.0839,0.084,83.90734,83.5475
2500,56,50,0.892857,0.4493827160493827,0.1979,0.2025,197.82064,202.3915
3000,68,50,0.735294,0.5017006802721088,0.29948,0.294,299.41812,294.178
