Size,Tries,Entries,Ratio,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,51,50,0.980392,0.8333333333333334,0.00662,0.006,6.50678,6.1305
1000,55,50,0.909091,1.3333333333333333,0.02738,0.021,27.30474,20.7905
1500,66,50,0.757576,0.6956521739130435,0.07256,0.069,72.52628,68.9865
2000,101,50,0.49505,0.732824427480916,0.1267,0.131,126.71654,131.3765
2500,115,50,0.434783,1.0062893081761006,0.15582,0.159,155.788,159.0265
3000,406,50,0.123153,1.0906976744186043,0.2223,0.215,222.30728,215.399
