Size,Tries,Entries,Ratio,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,50,50,1.0,0.6,0.00454,0.005,4.47438,4.4615
1000,50,50,1.0,0.6470588235294117,0.01728,0.017,17.2311,17.3355
1500,51,50,0.980392,0.6829268292682926,0.042,0.041,41.90812,41.259
2000,51,50,0.980392,0.6566265060240963,0.08446,0.083,84.4211,83.123
2500,60,50,0.833333,0.4164759725400457,0.21844,0.2185,218.43558,218.9435
3000,66,50,0.757576,0.4876033057851239,0.30364,0.3025,303.60244,302.3665
