Size,Tries,Entries,Ratio,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,50,50,1.0,0.5555555555555556,0.01026,0.009,10.3485,9.2865
1000,53,50,0.943396,0.5490196078431373,0.04694,0.051,46.79666,50.833
1500,65,50,0.769231,0.4571428571428572,0.1074,0.105,107.42866,104.945
