Size,Tries,Entries,Ratio,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,52,50,0.961538,0.8333333333333334,0.00638,0.006,6.3559,6.328
1000,62,50,0.806452,1.6470588235294117,0.02004,0.017,20.00666,16.4915
1500,58,50,0.862069,0.8421052631578947,0.05468,0.057,54.81176,56.814
2000,66,50,0.757576,1.0052356020942408,0.09952,0.0955,99.62878,95.7255
2500,80,50,0.625,1.0561056105610562,0.14904,0.1515,148.96044,151.3315
3000,597,50,0.083752,1.0515695067264572,0.23064,0.223,230.68782,223.269
