Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.0,0.002,0.002,9.77226,8.554
1000,2.857143,0.00718,0.007,26.05332,26.176
1500,3.357143,0.01398,0.014,49.04056,49.269
2000,3.537037,0.02672,0.027,91.2197,90.7945
2500,3.9,0.05036,0.05,175.9392,175.453
3000,3.680851,0.09452,0.094,331.82022,329.6895
