Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.0,0.002,0.002,5.21292,5.4875
1000,2.5,0.00814,0.008,15.66602,15.6825
1500,2.473684,0.01896,0.019,36.12236,36.464
2000,2.329268,0.04096,0.041,77.05196,76.52
2500,2.407407,0.0815,0.081,154.86486,153.6505
3000,2.345763,0.14824,0.1475,281.2167,279.263
