Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00172,0.002,10.54908,10.8415
1000,3.8,0.00476,0.005,25.47,25.087
1500,4.6,0.01126,0.01,51.14306,50.412
2000,5.866667,0.0162,0.015,75.1947,73.951
2500,4.87931,0.0307,0.029,122.93154,122.139
3000,5.144737,0.03732,0.038,157.23814,162.064
