Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00194,0.002,4.3371,4.3195
1000,2.923077,0.00658,0.0065,12.40134,12.406
1500,2.875,0.0159,0.016,28.50172,28.2385
2000,3.087719,0.02874,0.0285,52.28228,52.7285
2500,3.369048,0.04272,0.042,78.30322,77.5515
3000,2.833333,0.0702,0.069,123.1342,123.3155
