Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.0,0.00454,0.0045,5.17548,5.1645
1000,1.0,0.01892,0.019,19.54536,19.692
1500,1.0,0.04746,0.046,47.84848,46.213
2000,1.0,0.09026,0.088,90.73514,88.4695
2500,1.0,0.14546,0.1415,145.99196,141.7985
3000,1.0,0.20562,0.1955,206.1535,196.1775
