Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.333333,0.00306,0.003,3.26098,3.191
1000,1.538462,0.013,0.013,13.33564,13.2595
1500,1.516129,0.03164,0.031,32.16878,31.7805
2000,1.364286,0.06978,0.07,70.29138,70.4625
2500,1.358885,0.14346,0.1435,143.92496,143.923
3000,1.30566,0.26758,0.265,268.06638,265.5125
