Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.333333,0.00386,0.003,67.63018,63.724
1000,2.0,0.00956,0.01,138.33522,138.7575
1500,2.9375,0.01604,0.016,218.14324,216.742
2000,3.82,0.02516,0.025,321.968,317.4725
2500,5.416667,0.03602,0.036,447.43464,442.434
3000,6.070175,0.05684,0.057,673.87814,670.765
