Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.002,0.002,38.21126,32.6015
1000,3.8,0.0052,0.005,83.12794,81.0105
1500,3.833333,0.01168,0.012,188.35314,191.2865
2000,5.176471,0.01742,0.017,277.51854,274.928
2500,5.339623,0.02534,0.0265,368.65354,384.0435
3000,5.75,0.03244,0.034,427.9042,449.813
