Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.0,0.00402,0.004,12.4103,12.3775
1000,2.222222,0.00852,0.009,25.50918,25.6385
1500,2.9375,0.01576,0.016,49.1606,48.9695
2000,3.537037,0.02732,0.027,88.16846,88.128
2500,3.823529,0.0501,0.051,165.91504,168.0605
3000,4.094675,0.08498,0.0845,288.27732,288.049
