Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.8,0.0025,0.0025,2.89032,2.9835
1000,1.727273,0.01074,0.011,11.1294,11.222
1500,1.84,0.02502,0.025,25.45876,25.5985
2000,1.913043,0.04584,0.046,46.1255,46.409
2500,1.635838,0.08338,0.0865,83.65916,86.795
3000,1.685345,0.11834,0.116,118.6089,116.6215
