Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00194,0.002,34.41566,32.1445
1000,3.8,0.00526,0.005,84.8176,84.187
1500,3.285714,0.0135,0.014,215.44806,219.359
2000,5.5,0.01698,0.016,269.99562,261.314
2500,6.738095,0.02122,0.021,328.86428,331.461
3000,6.409836,0.03052,0.0305,432.1277,436.542
