Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00186,0.002,33.05458,32.131
1000,3.8,0.00508,0.005,83.084,78.0195
1500,3.833333,0.0117,0.012,187.49392,186.7655
2000,5.176471,0.01784,0.017,282.27364,277.7115
2500,7.25641,0.01998,0.0195,312.34672,305.162
3000,6.516667,0.03064,0.03,429.4845,430.1035
