Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00172,0.002,32.61482,32.031
1000,3.166667,0.0063,0.006,100.26172,99.714
1500,4.181818,0.01058,0.011,168.94134,172.107
2000,5.866667,0.01588,0.015,253.16754,247.7985
2500,6.738095,0.0221,0.021,340.71732,331.2305
3000,6.741379,0.02994,0.029,437.16718,431.3245
