Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,0.8,0.0052,0.005,5.36042,5.06
1000,1.111111,0.01776,0.018,17.80172,17.783
1500,1.220779,0.03756,0.0385,37.6561,38.5555
2000,1.273333,0.0754,0.075,75.20682,75.1115
2500,1.21118,0.16274,0.161,162.25236,160.2065
3000,1.274401,0.26928,0.2715,268.6842,270.8505
