Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.00184,0.002,19.81816,20.2025
1000,3.8,0.00506,0.005,46.70584,46.566
1500,4.6,0.01004,0.01,84.0866,83.1595
2000,4.888889,0.01786,0.018,133.74788,135.584
2500,4.716667,0.0296,0.03,194.7402,196.592
3000,5.75,0.0349,0.034,241.243,242.138
