Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,1.0,0.00406,0.004,7.57992,7.632
1000,1.666667,0.01204,0.012,21.50628,21.552
1500,1.958333,0.02362,0.024,43.2218,43.334
2000,2.170455,0.04384,0.044,80.14862,80.0185
2500,2.191011,0.08974,0.089,161.8312,159.6695
3000,2.314381,0.15098,0.1495,276.61856,273.585
