Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,2.25,0.002,0.002,35.4274,32.27
1000,3.166667,0.00606,0.006,97.00062,95.511
1500,4.181818,0.01102,0.011,175.49778,172.401
2000,5.5,0.0159,0.016,255.26274,249.214
2500,6.431818,0.02378,0.022,360.92648,344.1865
3000,5.75,0.03458,0.034,460.84644,456.494
