Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,2.11875,0.40038,0.4,400.67874,399.979
7071,2.135343,0.7805,0.7795,780.72318,779.352
10000,2.031378,1.69244,1.705,1692.625,1705.005
14142,1.854946,3.85884,3.8365,3858.8114,3836.555
20000,1.847273,9.1017,9.1045,9101.0566,9103.715
