Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,7.369565,0.1215,0.115,1103.18658,1101.73
7071,6.979036,0.23576,0.2385,1832.4198,1828.89
10000,7.578775,0.44438,0.457,3165.618,3153.07
14142,9.077168,0.8183,0.784,5550.58,5512.165
20000,8.34458,2.0602,2.0155,11821.8068,11807.15
