Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,6.889182,0.1911,0.1895,1786.217,1779.13
7071,7.547436,0.3864,0.39,3826.0022,3823.1
10000,8.180038,0.79582,0.7915,8374.4324,8334.01
14142,7.069444,1.63818,1.62,19021.37,18948.45
20000,8.641992,3.77072,3.7555,46726.118,46699.3
