Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,8.033175,0.1096,0.1055,1082.07006,1065.805
7071,7.514673,0.229,0.2215,1829.7772,1803.475
10000,7.853741,0.45372,0.441,3155.8716,3148.055
14142,8.497313,0.83656,0.8375,5573.6202,5549.125
20000,9.015545,2.03764,1.8655,11880.386,11863.05
