Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,7.600897,0.11954,0.1115,456.63746,456.4315
7071,7.221258,0.24196,0.2305,916.8652,924.1675
10000,7.595395,0.44834,0.456,1781.8714,1793.41
14142,8.077753,0.94894,0.881,3584.7062,3566.03
20000,7.520009,2.273,2.2365,8276.5372,8330.245
