Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,1.0,1.29422,1.3055,1294.5588,1306.28
7071,1.0,2.94442,2.9435,2944.6432,2943.755
10000,1.0,6.52132,6.4745,6521.0032,6474.22
14142,1.0,11.3916,11.4525,11390.78,11451.75
20000,1.0,32.43698,32.455,32433.808,32452.2
