Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,6.208791,0.13972,0.1365,381.66788,379.2635
7071,6.187732,0.28296,0.269,778.05468,775.9525
10000,6.285844,0.56684,0.551,1557.0566,1558.445
14142,6.005485,1.2043,1.185,3256.4614,3224.57
20000,6.113595,2.87692,2.751,7640.8986,7584.19
