Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,3.968085,0.33274,0.329,1139.08588,1122.63
7071,4.068417,0.7223,0.7235,2477.2414,2481.89
10000,4.021429,1.60402,1.61,5440.7958,5470.08
14142,4.15096,2.7627,2.759,9000.8568,8988.18
20000,4.063987,7.96464,7.986,27091.31,27136.75
