Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,6.694872,0.19484,0.195,2149.9128,2163.01
7071,7.075721,0.4171,0.416,4589.6678,4569.21
10000,6.999459,0.92704,0.925,9954.1326,9900.365
14142,6.217427,1.83622,1.842,19135.4,19211.55
20000,7.078517,4.5596,4.585,50444.966,50983.15
