Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,3.885417,0.33854,0.336,664.70344,663.544
7071,5.018755,0.59104,0.5865,1514.565,1512.705
10000,5.964532,1.08078,1.0855,3711.9202,3706.415
14142,6.505254,1.77762,1.7605,6934.303,6955.56
20000,7.455778,4.39822,4.353,23595.918,23543.25
