Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,3.356041,0.39014,0.389,616.84814,614.8025
7071,3.74253,0.79606,0.7865,1600.621,1589.28
10000,3.832199,1.69804,1.6895,4210.9912,4172.985
14142,3.947096,2.90086,2.9015,7546.1038,7560.25
20000,4.179652,7.74748,7.765,24404.426,24344.85
