Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,4.388235,0.29488,0.2975,1086.51678,1091.54
7071,4.786179,0.61702,0.615,2308.1094,2297.37
10000,4.890106,1.33694,1.324,5044.5718,4991.645
14142,4.026191,2.8451,2.8445,10740.7818,10715.25
20000,4.780879,6.77278,6.7885,25712.938,25784.1
