Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,6.231504,0.20998,0.2095,1232.3124,1228.025
7071,6.34375,0.46616,0.464,2758.3294,2741.25
10000,6.304284,1.03034,1.027,5968.0456,5944.975
14142,6.234349,1.83404,1.837,9965.863,9959.745
20000,6.414665,5.05116,5.0595,29976.022,29982.85
