Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,7.704545,0.11054,0.11,1104.83108,1069.635
7071,7.907363,0.22158,0.2105,1861.1022,1856.71
10000,7.818284,0.45284,0.443,3155.963,3168.375
14142,8.873441,0.82646,0.802,5521.1588,5475.18
20000,8.449385,2.03828,1.9905,11984.022,11957.95
