Size,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
5000,0.84646,0.8475,846.81808,847.775
7071,1.71264,1.6645,1712.9132,1664.665
10000,3.4834,3.4635,3483.464,3463.71
14142,7.28136,7.1165,7280.9126,7116.03
20000,16.7327,16.8185,16731.198,16817.35
