Size,Tries,Entries,Ratio,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
500,50,50,1.0,0.00518,0.005,5.21834,5.211
1000,50,50,1.0,0.02522,0.028,25.28546,28.397
1500,50,50,1.0,0.05174,0.048,51.69346,47.4225
2000,50,50,1.0,0.10016,0.096,100.17288,95.77
2500,50,50,1.0,0.15968,0.16,159.58798,159.989
3000,50,50,1.0,0.23368,0.2345,233.66954,234.8665
