Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,3.958333,0.04856,0.048,168.93132,168.3685
5000,3.908397,0.32502,0.3275,1109.05968,1122.105
7500,4.082324,0.62038,0.6195,2033.2844,2031.47
10000,4.151268,1.59768,1.5965,5413.0572,5411.86
12500,4.02529,2.37546,2.3725,7850.539,7839.64
15000,4.022319,4.13038,4.122,13955.152,13881.15
17500,4.001661,4.4992,4.5145,14668.758,14737.35
20000,4.142439,7.8921,7.849,26958.67,26832.75
