Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,1.397059,0.13602,0.136,175.85828,177.1695
5000,3.832335,0.33916,0.334,673.37732,671.108
7500,4.696379,0.53542,0.5385,1280.502,1283.62
10000,6.21134,1.07168,1.067,3701.5266,3690.77
12500,6.233681,1.53264,1.532,5658.3516,5675.06
15000,7.29593,2.27748,2.2725,10743.007,10692.45
17500,7.280073,2.47318,2.4815,11773.414,11801.25
20000,7.315559,4.44178,4.4445,23460.76,23525.95
