Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,3.958333,0.04776,0.048,372.76048,373.395
5000,6.84492,0.18868,0.187,1754.5664,1739.305
7500,6.079327,0.41818,0.416,4182.4672,4197.765
10000,8.253425,0.80564,0.803,8494.4204,8444.9
12500,7.337687,1.30378,1.3015,14768.72,14683.6
15000,8.485159,1.96984,1.954,22988.864,22941.25
17500,6.421006,2.79504,2.8135,33594.346,33679.55
20000,8.335854,3.90838,3.9005,47777.452,47455.6
