Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,1.654762,0.08366,0.084,84.06186,84.5675
5000,1.759949,0.39644,0.3895,396.7242,389.7195
7500,1.789911,0.90216,0.902,902.44164,901.8285
10000,1.766301,1.63874,1.641,1638.8218,1641.27
12500,1.705225,2.66716,2.7275,2667.2316,2727.78
15000,1.554234,4.32694,4.287,4326.8954,4286.975
17500,1.801751,5.95722,5.9395,5956.9448,5939.355
20000,1.572577,8.97366,9.0215,8973.1256,9020.53
