Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,5.066667,0.03856,0.0375,202.14358,201.8915
5000,7.641791,0.17114,0.1675,1132.2608,1123.575
7500,6.798387,0.3768,0.372,2631.9788,2594.555
10000,8.663399,0.76942,0.765,5511.9784,5552.2
12500,7.549407,1.25558,1.265,8992.8236,9025.71
15000,8.588449,1.94632,1.9305,14120.878,14042.3
17500,6.830057,2.66548,2.645,19622.07,19541.4
20000,8.356207,3.84682,3.891,28260.962,28602.8
