Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,0.267565,0.50192,0.5195,434.16448,448.1685
5000,0.48738,1.5457,1.4065,1387.53828,1268.86
7500,0.739071,2.3438,2.1845,2187.6052,2069.535
10000,0.857798,3.61592,3.379,3436.9702,3228.415
12500,0.916634,5.11282,5.074,4933.907,4920.1
15000,1.057367,6.619,6.3015,6476.0982,6207.67
17500,1.047165,10.3387,10.2195,10083.3476,9915.535
20000,1.124391,13.37298,12.6175,13093.5568,12385.2
