Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,5.0,0.0381,0.038,481.05362,481.835
5000,6.649351,0.1943,0.1925,2165.68,2142.545
7500,6.093976,0.41454,0.415,4371.2408,4370.15
10000,7.18039,0.92322,0.923,9910.3356,9907.54
12500,6.627342,1.44312,1.441,15147.926,15102.6
15000,7.154261,2.33156,2.3175,25292.46,25033.55
17500,6.026856,2.99972,2.9975,31422.264,31438.6
20000,7.093706,4.5785,4.5835,50678.746,50643.4
