Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,6.177778,0.0231,0.0225,360.10976,351.521
5000,6.889447,0.10534,0.0995,1079.89632,1061.18
7500,6.727083,0.2463,0.24,1971.183,1960.355
10000,6.725058,0.44566,0.431,3152.9532,3152.865
12500,7.004518,0.67864,0.664,4498.0074,4493.665
15000,7.270049,0.98042,0.9165,6202.8234,6222.12
17500,7.284888,1.57186,1.469,9226.2084,9199.46
20000,6.9476,2.13934,2.042,12024.406,11902.4
