Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,1.041199,0.13422,0.1335,88.86394,89.2565
5000,0.977889,0.70504,0.701,812.217,813.719
7500,1.245276,1.29262,1.2965,1650.813,1655.465
10000,0.936813,3.1029,3.094,4762.8238,4787.16
12500,1.041541,4.50434,4.4655,7127.4282,7116.735
15000,0.970717,7.20574,6.864,5883.4998,5681.235
17500,1.061078,10.24396,10.0855,8413.4212,8226.31
20000,1.138558,13.4959,12.4605,11095.2578,10376.3
