Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,6.043478,0.02354,0.023,360.2203,356.155
5000,6.317972,0.1149,0.1085,1078.35356,1053.095
7500,6.797895,0.24418,0.2375,1986.284,1979.745
10000,7.310214,0.41464,0.3965,3105.239,3109.555
12500,6.931446,0.68546,0.671,4559.6872,4542.915
15000,7.099627,0.96662,0.9385,6180.6834,6157.0
17500,7.525668,1.48688,1.422,9102.1896,9078.075
20000,7.488519,1.96898,1.8945,11817.346,11811.35
