Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,5.346154,0.02666,0.026,115.7752,115.9035
5000,6.889447,0.1074,0.0995,442.0662,434.514
7500,6.589796,0.25026,0.245,1002.63836,994.207
10000,6.233333,0.48006,0.465,1834.385,1833.04
12500,6.725958,0.69724,0.6915,2812.1594,2819.945
15000,6.904663,1.03294,0.965,4052.259,4049.36
17500,6.55127,1.68462,1.6335,6389.9632,6394.73
20000,6.039591,2.42,2.349,8455.2856,8450.725
