Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,5.56,0.0267,0.025,395.0338,381.0545
5000,6.175676,0.1136,0.111,1068.43502,1060.14
7500,6.589796,0.24814,0.245,1994.8514,1980.0
10000,6.602506,0.43018,0.439,3115.039,3167.62
12500,7.004518,0.67874,0.664,4570.6844,4568.2
15000,7.270049,0.9393,0.9165,6149.7438,6164.91
17500,7.687859,1.46994,1.392,9073.11,9126.57
20000,7.054699,2.15736,2.011,11947.18,12027.4
