Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,1.386861,0.13676,0.137,93.81906,94.244
5000,1.832498,0.6976,0.6985,807.1586,807.988
7500,1.973469,1.2799,1.2815,1643.4618,1648.815
10000,2.121139,3.13382,3.1245,4830.3758,4802.145
12500,2.111664,5.23188,4.5225,7502.0922,7239.66
15000,2.168454,7.63728,7.646,12940.452,12962.85
17500,2.178666,8.26022,8.292,13789.15,13727.9
20000,2.29789,14.25476,14.1495,25321.65,25156.4
