Size,Speedup,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,1.310345,0.1466,0.145,146.75978,145.0385
5000,1.281281,0.99136,0.999,984.43224,990.1085
7500,1.058159,2.38716,2.39,2376.066,2385.66
10000,1.323383,5.0149,5.008,4991.82,4982.75
12500,1.176326,8.09928,8.1185,8075.3432,8091.975
15000,1.291428,12.92298,12.8385,12899.76,12819.65
17500,1.041329,17.22386,17.3485,17187.194,17306.9
20000,1.344248,24.30906,24.1875,24289.496,24160.15
