Size,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,0.18784,0.19,188.32066,190.1525
5000,1.27222,1.28,1272.59,1279.95
7500,2.52694,2.529,2527.1628,2529.055
10000,6.6478,6.6275,6647.551,6626.88
12500,9.52662,9.55,9525.956,9549.015
15000,16.6927,16.58,16691.48,16578.75
17500,18.14956,18.0655,18147.952,18064.3
20000,32.77642,32.514,32773.16,32510.8
