Size,Mean Total Time (s),Median Total Time (s),Mean Total CPU Time (ms),Median Total CPU Time (ms)
2500,0.14038,0.139,140.87834,139.392
5000,0.71274,0.6855,713.096,685.8135
7500,1.65526,1.6145,1655.6026,1614.825
10000,2.92798,2.8985,2928.146,2898.76
12500,4.73918,4.651,4739.075,4651.175
15000,6.70012,6.663,6699.961,6663.0
17500,10.64088,10.7015,10640.0844,10701.0
20000,14.47808,14.187,14476.91,14185.65
